mosquitoes,Net RBC regeneration (slowest),Net RBC regeneration (fastest),Net plasma regeneration
1,5.067107142857143,7.6010357142857154,260.14908333333335
11,5.059607142857143,7.593535714285715,260.1399166666667
21,5.052107142857143,7.586035714285716,260.13075000000003
31,5.044607142857143,7.5785357142857155,260.1215833333334
41,5.037107142857143,7.571035714285715,260.1124166666667
51,5.029607142857143,7.563535714285716,260.10325000000006
61,5.022107142857143,7.5560357142857155,260.09408333333334
71,5.014607142857143,7.548535714285715,260.0849166666667
81,5.007107142857143,7.541035714285716,260.07575
91,4.999607142857143,7.533535714285716,260.06658333333337
101,4.992107142857143,7.526035714285715,260.0574166666667
111,4.9846071428571435,7.518535714285716,260.04825000000005
121,4.977107142857143,7.511035714285716,260.0390833333334
131,4.969607142857143,7.503535714285715,260.0299166666667
141,4.9621071428571435,7.496035714285716,260.02075
151,4.954607142857143,7.488535714285716,260.01158333333336
161,4.947107142857143,7.481035714285715,260.0024166666667
171,4.939607142857143,7.473535714285715,259.99325000000005
181,4.932107142857143,7.466035714285716,259.9840833333334
191,4.924607142857143,7.458535714285715,259.9749166666667
201,4.917107142857143,7.451035714285715,259.96575
211,4.909607142857143,7.443535714285716,259.95658333333336
221,4.902107142857143,7.436035714285715,259.9474166666667
231,4.894607142857143,7.428535714285715,259.93825000000004
241,4.887107142857143,7.421035714285716,259.9290833333334
251,4.879607142857143,7.4135357142857154,259.9199166666667
261,4.872107142857143,7.406035714285715,259.91075
271,4.864607142857143,7.398535714285716,259.90158333333335
281,4.857107142857143,7.3910357142857155,259.8924166666667
291,4.849607142857143,7.383535714285715,259.88325000000003
301,4.842107142857143,7.376035714285716,259.8740833333334
311,4.834607142857143,7.3685357142857155,259.8649166666667
321,4.827107142857143,7.361035714285715,259.85575000000006
331,4.819607142857143,7.353535714285716,259.84658333333334
341,4.812107142857143,7.346035714285716,259.8374166666667
351,4.804607142857143,7.338535714285715,259.82825
361,4.7971071428571435,7.331035714285716,259.81908333333337
371,4.789607142857143,7.323535714285716,259.8099166666667
381,4.782107142857143,7.316035714285715,259.80075000000005
391,4.774607142857143,7.308535714285716,259.7915833333334
401,4.767107142857143,7.301035714285716,259.7824166666667
411,4.759607142857143,7.293535714285715,259.77325
421,4.752107142857143,7.286035714285715,259.76408333333336
431,4.744607142857143,7.278535714285716,259.7549166666667
441,4.737107142857143,7.271035714285715,259.74575000000004
451,4.729607142857143,7.263535714285715,259.7365833333334
461,4.722107142857143,7.256035714285716,259.7274166666667
471,4.714607142857143,7.248535714285715,259.71825
481,4.707107142857143,7.241035714285715,259.70908333333335
491,4.699607142857143,7.233535714285716,259.6999166666667
501,4.692107142857143,7.2260357142857154,259.69075000000004
511,4.684607142857143,7.218535714285715,259.6815833333334
521,4.677107142857143,7.211035714285716,259.6724166666667
531,4.669607142857143,7.2035357142857155,259.66325000000006
541,4.662107142857143,7.196035714285715,259.65408333333335
551,4.654607142857143,7.188535714285716,259.6449166666667
561,4.647107142857143,7.1810357142857155,259.63575000000003
571,4.639607142857143,7.173535714285715,259.6265833333334
581,4.632107142857143,7.166035714285716,259.6174166666667
591,4.624607142857143,7.158535714285716,259.60825000000006
601,4.617107142857143,7.151035714285715,259.59908333333334
611,4.6096071428571435,7.143535714285716,259.5899166666667
621,4.602107142857143,7.136035714285716,259.58075
631,4.594607142857143,7.128535714285715,259.57158333333336
641,4.587107142857143,7.121035714285716,259.5624166666667
651,4.579607142857143,7.113535714285716,259.55325000000005
661,4.572107142857143,7.106035714285715,259.5440833333334
671,4.5646071428571435,7.098535714285715,259.5349166666667
681,4.557107142857143,7.091035714285716,259.52575
691,4.549607142857143,7.083535714285715,259.51658333333336
701,4.542107142857143,7.076035714285715,259.5074166666667
711,4.534607142857143,7.068535714285716,259.49825000000004
721,4.527107142857143,7.061035714285715,259.4890833333334
731,4.519607142857143,7.053535714285715,259.4799166666667
741,4.512107142857143,7.046035714285716,259.47075
751,4.504607142857143,7.0385357142857154,259.46158333333335
761,4.497107142857143,7.031035714285715,259.4524166666667
771,4.489607142857143,7.023535714285716,259.44325000000003
781,4.482107142857143,7.0160357142857155,259.4340833333334
791,4.474607142857143,7.008535714285715,259.4249166666667
801,4.467107142857143,7.001035714285716,259.41575000000006
811,4.459607142857143,6.9935357142857155,259.40658333333334
821,4.452107142857143,6.986035714285715,259.3974166666667
831,4.444607142857143,6.978535714285716,259.38825
841,4.437107142857143,6.971035714285716,259.37908333333337
851,4.429607142857143,6.963535714285715,259.3699166666667
861,4.4221071428571435,6.956035714285715,259.36075000000005
871,4.414607142857143,6.948535714285716,259.3515833333334
881,4.407107142857143,6.941035714285715,259.3424166666667
891,4.399607142857143,6.933535714285716,259.33325
901,4.392107142857143,6.926035714285716,259.32408333333336
911,4.384607142857143,6.918535714285715,259.3149166666667
921,4.3771071428571435,6.911035714285715,259.30575000000005
931,4.369607142857143,6.903535714285716,259.2965833333334
941,4.362107142857143,6.896035714285715,259.2874166666667
951,4.354607142857143,6.888535714285715,259.27825
961,4.347107142857143,6.881035714285716,259.26908333333336
971,4.339607142857143,6.873535714285715,259.2599166666667
981,4.332107142857143,6.866035714285715,259.25075000000004
991,4.324607142857143,6.858535714285716,259.2415833333334
1001,4.317107142857143,6.8510357142857154,259.2324166666667
1011,4.309607142857143,6.843535714285715,259.22325
1021,4.302107142857143,6.836035714285716,259.21408333333335
1031,4.294607142857143,6.8285357142857155,259.2049166666667
1041,4.287107142857143,6.821035714285715,259.19575000000003
1051,4.279607142857143,6.813535714285716,259.1865833333334
1061,4.272107142857143,6.8060357142857155,259.1774166666667
1071,4.264607142857143,6.798535714285715,259.16825000000006
1081,4.257107142857143,6.791035714285716,259.15908333333334
1091,4.249607142857143,6.783535714285716,259.1499166666667
1101,4.242107142857143,6.776035714285715,259.14075
1111,4.2346071428571435,6.768535714285715,259.13158333333337
1121,4.227107142857143,6.761035714285716,259.1224166666667
1131,4.219607142857143,6.753535714285715,259.11325000000005
1141,4.212107142857143,6.746035714285716,259.1040833333334
1151,4.204607142857143,6.738535714285716,259.0949166666667
1161,4.197107142857143,6.731035714285715,259.08575
1171,4.1896071428571435,6.723535714285715,259.07658333333336
1181,4.182107142857143,6.716035714285716,259.0674166666667
1191,4.174607142857143,6.708535714285715,259.05825000000004
1201,4.167107142857143,6.701035714285715,259.0490833333334
1211,4.159607142857143,6.693535714285716,259.0399166666667
1221,4.152107142857143,6.686035714285715,259.03075
1231,4.144607142857143,6.678535714285715,259.02158333333335
1241,4.137107142857143,6.671035714285716,259.0124166666667
1251,4.129607142857143,6.6635357142857154,259.00325000000004
1261,4.122107142857143,6.656035714285715,258.9940833333334
1271,4.114607142857143,6.648535714285716,258.9849166666667
1281,4.107107142857143,6.6410357142857155,258.97575000000006
1291,4.099607142857143,6.633535714285715,258.96658333333335
1301,4.092107142857143,6.626035714285716,258.9574166666667
1311,4.084607142857143,6.6185357142857155,258.94825000000003
1321,4.077107142857143,6.611035714285715,258.9390833333334
1331,4.069607142857143,6.603535714285716,258.9299166666667
1341,4.062107142857143,6.596035714285716,258.92075000000006
1351,4.054607142857143,6.588535714285715,258.91158333333334
1361,4.0471071428571435,6.581035714285715,258.9024166666667
1371,4.039607142857143,6.573535714285716,258.89325
1381,4.032107142857143,6.566035714285715,258.88408333333336
1391,4.024607142857143,6.558535714285716,258.8749166666667
1401,4.017107142857143,6.551035714285716,258.86575000000005
1411,4.009607142857143,6.543535714285715,258.8565833333334
1421,4.0021071428571435,6.536035714285715,258.8474166666667
1431,3.9946071428571432,6.528535714285716,258.83825
1441,3.987107142857143,6.521035714285715,258.82908333333336
1451,3.979607142857143,6.513535714285716,258.8199166666667
1461,3.9721071428571433,6.506035714285716,258.81075000000004
1471,3.964607142857143,6.498535714285715,258.8015833333334
1481,3.9571071428571427,6.491035714285715,258.7924166666667
1491,3.9496071428571433,6.483535714285716,258.78325
1501,3.942107142857143,6.4760357142857154,258.77408333333335
1511,3.9346071428571427,6.468535714285715,258.7649166666667
1521,3.9271071428571434,6.461035714285716,258.75575000000003
1531,3.919607142857143,6.4535357142857155,258.7465833333334
1541,3.912107142857143,6.446035714285715,258.7374166666667
1551,3.904607142857143,6.438535714285715,258.72825000000006
1561,3.897107142857143,6.4310357142857155,258.71908333333334
1571,3.889607142857143,6.423535714285715,258.7099166666667
1581,3.882107142857143,6.416035714285716,258.70075
1591,3.874607142857143,6.408535714285716,258.69158333333337
1601,3.867107142857143,6.401035714285715,258.6824166666667
1611,3.859607142857143,6.393535714285715,258.67325000000005
1621,3.852107142857143,6.386035714285716,258.6640833333334
1631,3.844607142857143,6.378535714285715,258.6549166666667
1641,3.837107142857143,6.371035714285716,258.64575
1651,3.829607142857143,6.363535714285716,258.63658333333336
1661,3.822107142857143,6.356035714285715,258.6274166666667
1671,3.814607142857143,6.348535714285715,258.61825000000005
1681,3.8071071428571432,6.341035714285716,258.6090833333334
1691,3.799607142857143,6.333535714285715,258.5999166666667
1701,3.792107142857143,6.326035714285716,258.59075
1711,3.7846071428571433,6.318535714285716,258.58158333333336
1721,3.777107142857143,6.311035714285715,258.5724166666667
1731,3.7696071428571427,6.303535714285715,258.56325000000004
1741,3.7621071428571433,6.296035714285716,258.5540833333334
1751,3.754607142857143,6.2885357142857154,258.5449166666667
1761,3.7471071428571427,6.281035714285715,258.53575
1771,3.7396071428571434,6.273535714285716,258.52658333333335
1781,3.732107142857143,6.2660357142857155,258.5174166666667
1791,3.724607142857143,6.258535714285715,258.50825000000003
1801,3.717107142857143,6.251035714285715,258.4990833333334
1811,3.709607142857143,6.2435357142857155,258.4899166666667
1821,3.702107142857143,6.236035714285715,258.48075000000006
1831,3.694607142857143,6.228535714285716,258.47158333333334
1841,3.687107142857143,6.221035714285716,258.4624166666667
1851,3.679607142857143,6.213535714285715,258.45325
1861,3.672107142857143,6.206035714285715,258.44408333333337
1871,3.664607142857143,6.198535714285716,258.4349166666667
1881,3.657107142857143,6.191035714285715,258.42575000000005
1891,3.649607142857143,6.183535714285716,258.4165833333334
1901,3.642107142857143,6.176035714285716,258.4074166666667
1911,3.634607142857143,6.168535714285715,258.39825
1921,3.627107142857143,6.161035714285715,258.38908333333336
1931,3.6196071428571432,6.153535714285716,258.3799166666667
1941,3.612107142857143,6.146035714285715,258.37075000000004
1951,3.604607142857143,6.138535714285716,258.3615833333334
1961,3.5971071428571433,6.131035714285716,258.3524166666667
1971,3.589607142857143,6.123535714285715,258.34325
1981,3.5821071428571427,6.116035714285715,258.33408333333335
1991,3.5746071428571433,6.108535714285716,258.3249166666667
2001,3.567107142857143,6.1010357142857154,258.31575000000004
2011,3.5596071428571427,6.093535714285715,258.3065833333334
2021,3.5521071428571434,6.086035714285716,258.2974166666667
2031,3.544607142857143,6.0785357142857155,258.28825000000006
2041,3.537107142857143,6.071035714285715,258.27908333333335
2051,3.529607142857143,6.063535714285715,258.2699166666667
2061,3.522107142857143,6.0560357142857155,258.26075000000003
2071,3.514607142857143,6.048535714285715,258.2515833333334
2081,3.507107142857143,6.041035714285716,258.2424166666667
2091,3.499607142857143,6.033535714285716,258.23325000000006
2101,3.492107142857143,6.026035714285715,258.22408333333334
2111,3.484607142857143,6.018535714285715,258.2149166666667
2121,3.477107142857143,6.011035714285716,258.20575
2131,3.469607142857143,6.003535714285715,258.19658333333336
2141,3.462107142857143,5.996035714285716,258.1874166666667
2151,3.454607142857143,5.988535714285716,258.17825000000005
2161,3.447107142857143,5.981035714285715,258.1690833333334
2171,3.439607142857143,5.973535714285715,258.1599166666667
2181,3.4321071428571432,5.966035714285716,258.15075
2191,3.424607142857143,5.958535714285715,258.14158333333336
2201,3.417107142857143,5.951035714285716,258.1324166666667
2211,3.4096071428571433,5.943535714285716,258.12325000000004
2221,3.402107142857143,5.936035714285715,258.1140833333334
2231,3.3946071428571427,5.928535714285715,258.1049166666667
2241,3.3871071428571433,5.921035714285716,258.09575
2251,3.379607142857143,5.9135357142857154,258.08658333333335
2261,3.3721071428571427,5.906035714285715,258.0774166666667
2271,3.3646071428571434,5.898535714285716,258.06825000000003
2281,3.357107142857143,5.8910357142857155,258.0590833333334
2291,3.349607142857143,5.883535714285715,258.0499166666667
2301,3.342107142857143,5.876035714285715,258.04075000000006
2311,3.334607142857143,5.8685357142857155,258.03158333333334
2321,3.327107142857143,5.861035714285715,258.0224166666667
2331,3.319607142857143,5.853535714285716,258.01325
2341,3.312107142857143,5.846035714285716,258.00408333333337
2351,3.304607142857143,5.838535714285715,257.9949166666667
2361,3.297107142857143,5.831035714285715,257.98575000000005
2371,3.289607142857143,5.823535714285716,257.9765833333334
2381,3.282107142857143,5.816035714285715,257.9674166666667
2391,3.274607142857143,5.808535714285716,257.95825
2401,3.267107142857143,5.801035714285716,257.94908333333336
2411,3.259607142857143,5.793535714285715,257.9399166666667
2421,3.252107142857143,5.786035714285715,257.93075000000005
2431,3.2446071428571432,5.778535714285716,257.9215833333334
2441,3.237107142857143,5.771035714285715,257.9124166666667
2451,3.229607142857143,5.763535714285716,257.90325
2461,3.2221071428571433,5.756035714285716,257.89408333333336
2471,3.214607142857143,5.748535714285715,257.8849166666667
2481,3.2071071428571427,5.741035714285715,257.87575000000004
2491,3.1996071428571433,5.733535714285716,257.8665833333334
2501,3.192107142857143,5.7260357142857154,257.8574166666667
2511,3.1846071428571427,5.718535714285715,257.84825
2521,3.1771071428571434,5.711035714285716,257.83908333333335
2531,3.169607142857143,5.7035357142857155,257.8299166666667
2541,3.162107142857143,5.696035714285715,257.82075000000003
2551,3.154607142857143,5.688535714285715,257.8115833333334
2561,3.147107142857143,5.6810357142857155,257.8024166666667
2571,3.139607142857143,5.673535714285715,257.79325000000006
2581,3.132107142857143,5.666035714285716,257.78408333333334
2591,3.124607142857143,5.658535714285716,257.7749166666667
2601,3.117107142857143,5.651035714285715,257.76575
2611,3.109607142857143,5.643535714285715,257.75658333333337
2621,3.102107142857143,5.636035714285716,257.7474166666667
2631,3.094607142857143,5.628535714285715,257.73825000000005
2641,3.087107142857143,5.621035714285716,257.7290833333334
2651,3.079607142857143,5.613535714285716,257.7199166666667
2661,3.072107142857143,5.606035714285715,257.71075
2671,3.064607142857143,5.598535714285715,257.70158333333336
2681,3.057107142857143,5.591035714285715,257.6924166666667
2691,3.049607142857143,5.583535714285715,257.68325000000004
2701,3.042107142857143,5.576035714285716,257.6740833333334
2711,3.034607142857143,5.568535714285716,257.6649166666667
2721,3.027107142857143,5.561035714285715,257.65575
2731,3.019607142857143,5.553535714285715,257.64658333333335
2741,3.012107142857143,5.546035714285715,257.6374166666667
2751,3.004607142857143,5.5385357142857154,257.62825000000004
2761,2.997107142857143,5.531035714285716,257.6190833333334
2771,2.989607142857143,5.523535714285716,257.6099166666667
2781,2.982107142857143,5.5160357142857155,257.60075000000006
2791,2.9746071428571432,5.508535714285715,257.59158333333335
